FNDDS food code	FNDDS food description	Caffeinated status	Sugary status	Fatty status	Milk-containing status
92100000	coffee, ns as to type	1	-	1	-
92100500	coffee, regular, ns as to ground or instant	1	-	1	-
92101000	coffee, brewed	1	-	1	-
92101500	coffee, made from ground, equal parts regular and decaffeinated	0	-	1	-
92101600	coffee, turkish	1	-	1	-
92101610	coffee, espresso	1	-	1	-
92101630	coffee, espresso, decaffeinated	0	-	1	-
92101640	coffee, mexican, regular, unsweetened (- milk; -t cafe con leche)	1	0	1	0
92101650	coffee, mexican, regular, sweetened (- milk; -t cafe con leche)	1	1	1	0
92101660	coffee, mexican, decaffeinated, unsweetened (- milk; -t cafe con leche)	0	0	1	0
92101670	coffee, mexican, decaffeinated, sweetened (- milk; -t cafe con leche)	0	1	1	0
92101700	coffee, made from ground, regular, flavored	1	-	1	-
92101700	coffee, brewed, flavored	1	-	1	-
92101800	coffee, cuban	1	-	1	-
92101810	coffee, macchiato	1	-	1	-
92101820	coffee, macchiato, sweetened	1	1	1	-
92101850	coffee, cafe con leche	1	-	1	-
92101851	coffee, cafe con leche, decaffeinated	0	-	1	-
92101900	coffee, latte	1	-	1	-
92101901	coffee, latte, -nfat	1	-	0	-
92101903	coffee, latte, with -n-dairy milk	1	-	1	1
92101904	coffee, latte, flavored	1	-	1	-
92101905	coffee, latte, -nfat, flavored	1	-	0	-
92101906	coffee, latte, with -n-dairy milk, flavored	1	-	1	1
92101910	coffee, latte, decaffeinated	0	-	1	-
92101911	coffee, latte, decaffeinated, -nfat	0	-	0	-
92101913	coffee, latte, decaffeinated, with -n-dairy milk	0	-	1	1
92101917	coffee, latte, decaffeinated, flavored	0	-	1	-
92101918	coffee, latte, decaffeinated, -nfat, flavored	0	-	0	-
92101919	coffee, latte, decaffeinated, with -n-dairy milk, flavored	0	-	1	1
92101920	blended coffee beverage, made with regular coffee, milk, and ice, sweetened	1	1	1	1
92101921	frozen coffee drink, -nfat	1	-	0	-
92101923	frozen coffee drink, with -n-dairy milk	1	-	1	1
92101925	blended coffee beverage, made with regular coffee, milk, and ice, sweetened, with whipped cream	1	1	1	1
92101926	frozen coffee drink, -nfat, with whipped cream	1	-	0	-
92101928	frozen coffee drink, with -n-dairy milk and whipped cream	1	-	1	1
92101930	blended coffee beverage, made with decaffeinated coffee, milk, and ice, sweetened	0	1	1	1
92101930	frozen coffee drink, decaffeinated	0	-	1	-
92101931	frozen coffee drink, decaffeinated, -nfat	0	-	0	-
92101933	frozen coffee drink, decaffeinated, with -n-dairy milk	0	-	1	1
92101935	blended coffee beverage, made with decaffeinated coffee, milk, and ice, sweetened, with whipped cream	0	1	1	1
92101936	frozen coffee drink, decaffeinated, -nfat, with whipped cream	0	-	0	-
92101938	frozen coffee drink, decaffeinated, with -n-dairy milk and whipped cream	0	-	1	1
92101950	coffee, mocha	1	-	1	-
92101950	coffee, cafe mocha	1	-	1	-
92101955	coffee, cafe mocha, -nfat	1	-	0	-
92101960	coffee, mocha, made with soy milk	1	-	1	1
92101965	coffee, cafe mocha, decaffeinated	0	-	1	-
92101970	coffee, cafe mocha, decaffeinated, -nfat	0	-	0	-
92101975	coffee, cafe mocha, decaffeinated, with -n-dairy milk	0	-	1	1
92102000	frozen mocha coffee drink	1	-	1	-
92102010	frozen mocha coffee drink, -nfat	1	-	0	-
92102020	frozen mocha coffee drink, with -n-dairy milk	1	-	1	1
92102030	frozen mocha coffee drink, with whipped cream	1	-	1	-
92102040	frozen mocha coffee drink, -nfat, with whipped cream	1	-	0	-
92102050	frozen mocha coffee drink, with -n-dairy milk and whipped cream	1	-	1	1
92102060	frozen mocha coffee drink, decaffeinated	0	-	1	-
92102070	frozen mocha coffee drink, decaffeinated, -nfat	0	-	0	-
92102080	frozen mocha coffee drink, decaffeinated, with -n-dairy milk	0	-	1	1
92102090	frozen mocha coffee drink, decaffeinated, with whipped cream	0	-	1	-
92102100	frozen mocha coffee drink, decaffeinated, -nfat, with whipped cream	0	-	0	-
92102110	frozen mocha coffee drink, decaffeinated, with -n-dairy milk and whipped cream	0	-	1	1
92102400	iced coffee, brewed	1	-	1	-
92102401	iced coffee, brewed, decaffeinated	0	-	1	-
92102450	iced coffee, pre-lightened and pre-sweetened	1	1	1	-
92102500	coffee, iced latte	1	-	1	-
92102501	coffee, iced latte, -nfat	1	-	0	-
92102502	coffee, iced latte, with -n-dairy milk	1	-	1	1
92102503	coffee, iced latte, flavored	1	-	1	-
92102504	coffee, iced latte, -nfat, flavored	1	-	0	-
